  X101_PU	X102_PU	X103_PU	X104_PU	X105_PU	X106_PU	X107_PU1	X107_PU2	X108_PU	X109_PU	X110_PU	X111_PU	X112_PU	X113_PU	X114_PU	X115_PU	X116_PU	X117_PU	X118_PU	X119_PU	X120_PU	X121_PU	X122_PU	X123_PU	X124_PU	X125_PU	X126_PU	X127_PU	X128_PU	X129_PU	X130_PU	X131_PU	X132_PU	X133_PU	X134_PU	X135_PU	X136_PU	X137_PU	X138_PU	X139_PU	X140_PU	X141_PU	X142_PU	X143_PU	X144_PU	X145_PU	X146_PU	X147_PU	X148_PU	X149_PU	X150_PU	X151_PU	X152_PU	X153_PU	X154_PU	X155_PU	X156_PU	X157_PU	X158_PU	X159_PU	X160_PU	X161_PU	X162_PU	X163_PU	X164_PU	X165_PU	X166_PU	X167_PU	X168_PU	X169_PU	X170_PU	X171_PU	X172_PU	X173_PU	X174_PU	X175_PU	X176_PU	X177_PU	X178_PU	X179_PU	X180_PU	X181_PU	X182_PU	X183_PU	X184_PU	X450_PU	X451_PU	X452_PU	X453_PU	X454_PU	X455_PU	X456_PU	X457_PU	X458_PU	X459_PU	X460_PU	X461_PU	X462_PU	X463_PU	X464_PU	X465_PU	X466_PU	X467_PU	X468_PU	X469_PU	X470_PU	X471_PU	X472_PU	X473_PU	X474_PU	X475_PU	X476_PU	X477_PU	X478_PU	X479_PU
SV_10	2597	832	266	309	1012	24	6974	53	547	33	7687	17	145	22	2817	33	236	534	144	833	6	397	15	0	50	41	6554	2272	863	75	63	1483	98	0	24	673	1159	7047	10537	48330	10507	144	627	367	437	303	9	5583	120	230	143	9	70	178	6	15002	122	775	15	542	258	172	12	151	96	9954	278	245	28	15	228	74	42	279	39	127	121	955	98	98	119	0	833	129	25	91	110	0	321	48513	111	0	0	767	3540	64	0	2146	298	125	18	0	85	8	3372	51	416	518	11	78	49	469	20	3848	125
SV_11	0	0	2721	938	0	0	0	201	0	0	249	0	0	24	3770	0	0	0	1347	219	0	164	92	0	0	115	0	0	388	0	0	127738	0	485	341	65	0	0	0	0	0	1166	5193	0	151	0	0	0	142	1796	1460	0	0	676	97	0	161	0	0	281	0	0	0	184	444	0	0	0	0	0	0	1905	0	0	0	0	0	0	360	0	0	459	0	96	196	0	0	0	0	0	0	0	0	0	0	177	0	0	1585	0	0	0	0	0	0	0	3409	0	0	0	0	90	0	0	0
SV_12	121	0	18	689	59	48	171	294	16	69	2054	0	33	0	48	0	496	115	131	18	10	148	0	151	73	279	15	0	21	0	278	67	310	54	4016	0	34	30	0	0	213	0	269	0	0	78	0	149	0	18	338	0	42	31	0	35	223	14837	186	48	0	25	0	45	7	12	0	90	214	0	88	33	125	21	81	239	0	49	26	77	32	289	272	951	2130	0	65	0	0	0	0	0	0	0	0	0	0	232	0	0	28	0	0	0	0	15	0	0	11	0	93	0	258	0	0
SV_13	0	38	0	11	0	96	102	44	42	182	14	12	26	0	119	0	0	5	214	0	70	0	0	0	166	0	95867	8	0	40	9	0	0	0	0	135	95	31	8	25	0	63	4851	15	59	56	8	28	0	0	0	0	43	0	0	143	0	107	0	0	10	11	24	0	130	61	27582	254	22	3	0	0	0	18	110	0	51	37	64	0	852	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
SV_14	2085	609	335	1154	3668	0	0	50	0	0	57	0	49	0	6009	0	0	257	136	793	0	320	0	0	0	0	549	859	723	0	0	1416	0	47	32	603	652	150	67	26570	231	76	171	67	257	56	0	98	69	191	98	0	0	26813	0	17376	3677	113	0	52	45	61	0	63	58	0	48	0	0	0	0	40	0	87	0	0	0	552	50	19	38	26	0	28	0	0	0	0	72	26185	256	11	0	434	412	42	0	854	69	37	0	8	0	0	41	0	0	125	0	0	0	496	0	0	0
SV_15	0	424	508	47	222	34	0	2217	17	63	12	0	34	0	1908	0	0	27	229	16	28	272	17	0	48	93	9443	22	29	32	4	6713	0	32	28	40	59	7930	10	16	0	125	402	14	84	49	17	89	22	92	86	0	22	38	20	654	39	3271	7	33	27	11	10	22	135	32	91	38	23	10	0	199	0	21	72	0	42	48	36	0	71	0	0	38	299	63	83	17	31	126	13090	0	0	116	5258	144	0	150	461	615	130	6	0	21	96	111	168	42	0	19160	81	215	20	26	43
SV_16	0	0	0	0	0	94	0	699	0	168	14	17	39	0	484	0	0	0	241	0	52	0	0	0	166	289	27947	0	0	0	0	0	6	0	5	0	122	0	0	0	0	0	0	0	214	84	18	82	0	179	72	0	0	0	0	110	164	250	0	0	0	8	0	0	206	87	0	128	41	0	0	294	0	15	130	0	0	51	0	0	150	0	0	51	0	76	274	41	15	87	47455	0	0	40	27883	711	0	432	296	657	13	35	0	0	53	138	0	225	6	0	47	291	81	76	0
SV_17	0	622	0	0	12	569	0	0	52284	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	627	698	0	0	693	0	319	0	116	47	171	0	1570	0	244	96	0	0	111	0	0	0	0	835	0	0	0	0	0	0	0	140	0	328	0	0	0	780	0	0	0	0	0	764	96	0	0	1708	0	0	0	0	0	0	0	870	0	605	0	0	0	50	0	0	0	0	95	0	93	0	0	0	0	0	0	0	362	0	137	0	0	0	0	0	70	0
SV_18	0	40	219	81	195	22	44	48	0	56	680	0	63	28	56	0	141	96	1941	96	12	42	58961	717	34	29	33	303	215	48	22	649	28	270	229	18	27	0	0	0	19	36	28	0	0	63	627	137	60	150	1147	0	0	251	38	76	17	14544	58	3859	0	15	0	194	79	16	23	620	165	568	0	213	0	0	136	847	0	67	168	0	46	367	11	250	88	0	15	944	0	8	27	0	0	8	0	17	0	321	27	0	100	0	0	118	0	0	45	0	15	3574	83	877	4654	45	16
SV_19	0	46	16	51	1192	0	0	49	48	216	9464	25	40	0	29	13	0	85	4635	18	0	0	56	0	0	0	0	43	23	45	211	156	105	332	20	45	0	62	28	37	0	174	0	30	79	147	60	774	13	0	1070	0	54	23	0	0	0	9451	0	58	41	0	12	22	13	0	62	0	0	58	0	34	0	131	40	0	14385	38	26	0	0	39	0	597	0	0	65	207	0	0	136	0	0	0	0	123	0	49936	51	0	141	0	0	0	0	0	13	89	68	0	0	0	129	122	0
